TrumpGen,TrumpAbort,SCGen,SCAbort,BidenGen,BidenAbort,religion,bornagain,CRS1,CRS2,CRS3,CRS4,CRS5,AbortionWrong,AbortionMurder,AbortionRape,AbortionHealth,AbortionDefect,AbortionWant,AbortionAll,AbortionWait,AbortionUltrasound,PolAffiliate,IdeologySocial,IdeologyEconomy,IdeologySecurity,vote2020,Acheck3,abortion_score_5pt,abortion_group
3,1,3,1,2,1,1,0,4,3,2,3,4,1,1,7,7,7,7,7,2,5,5,5,3,3,8,1,4.7939058171745135,pro-choice
4,3,5,3,3,3,2,2,2,3,3,4,3,2,2,7,7,6,6,6,2,5,2,3,2,2,8,1,4.425176977531547,pro-choice
5,5,3,3,1,1,8,0,2,2,1,1,2,3,2,7,6,6,7,6,5,5,2,2,2,2,4,1,4.1923668821175735,pro-choice
2,2,2,2,4,4,9,0,2,2,2,1,2,4,1,7,7,7,7,5,4,2,6,6,4,6,8,1,4.490550938750385,pro-choice
3,3,4,4,2,2,1,0,2,2,1,1,1,7,6,5,6,3,2,1,6,6,2,2,2,2,8,1,2.347368421052631,pro-life
2,2,3,2,4,4,9,0,1,2,2,1,2,4,2,7,7,7,7,7,2,2,6,6,6,6,8,1,4.631024930747921,pro-choice
3,3,3,3,2,2,9,0,1,1,1,1,1,4,4,7,7,2,5,3,4,6,3,4,2,3,8,1,3.4225300092336104,neutral
4,3,4,3,2,2,1,0,2,5,3,5,5,5,4,6,6,2,1,1,3,2,3,4,2,3,8,1,2.9010156971375802,pro-life
3,3,4,2,3,3,1,0,2,5,2,3,2,3,3,7,7,5,6,6,3,5,4,4,4,4,8,1,4.154816866728223,pro-choice
1,1,3,1,2,2,8,0,4,3,1,1,2,3,2,7,7,7,7,7,4,5,5,6,5,4,8,3,4.483533394890735,pro-choice
1,1,4,2,2,3,7,0,3,1,1,1,1,1,4,7,7,7,6,6,2,1,7,7,7,7,8,1,4.553831948291781,pro-choice
0,0,0,0,0,0,1,0,3,5,3,5,5,6,6,5,4,4,2,2,4,4,4,4,4,4,8,1,2.5136965220067706,pro-life
2,2,4,3,3,4,1,0,5,5,3,4,1,1,1,7,7,5,6,6,6,3,5,7,5,3,8,1,4.394152046783625,pro-choice
1,1,0,0,3,3,9,0,3,2,1,1,2,1,1,7,7,7,5,1,2,6,5,5,3,4,8,1,4.201354262850107,pro-choice
3,2,3,2,4,3,7,0,3,1,1,1,1,1,1,7,7,7,7,5,5,2,4,5,4,4,8,1,4.641120344721452,pro-choice
5,5,3,3,2,2,1,0,3,5,3,4,4,4,4,5,4,1,4,3,4,5,2,3,1,1,8,2,2.781471221914435,pro-life
1,1,2,1,3,2,1,0,2,3,1,2,3,2,2,7,7,6,2,5,2,3,5,6,3,5,8,3,4.1196060326254225,pro-choice
3,2,3,2,4,3,7,0,2,1,1,1,1,1,1,7,7,7,7,7,5,5,4,5,4,4,8,1,4.6528162511542,pro-choice
5,5,3,3,3,3,1,0,2,4,3,3,4,7,7,6,6,2,2,2,4,4,1,1,1,1,4,1,2.5343798091720524,pro-life
0,0,3,3,0,0,1,0,3,5,3,5,5,6,5,5,5,4,2,2,4,3,4,4,4,4,8,1,2.743798091720529,pro-life
1,1,2,1,3,2,6,0,3,4,3,3,3,1,1,7,6,2,5,5,4,2,5,6,4,6,8,3,4.058171745152354,pro-choice
3,3,3,3,1,1,1,0,2,2,2,1,1,3,4,7,7,4,5,6,4,5,3,3,2,2,8,2,3.8704216682056014,pro-choice
3,3,4,4,2,2,1,0,3,4,3,2,3,4,4,5,5,4,5,4,4,4,2,3,2,2,8,1,3.2910433979686053,neutral
3,3,3,3,3,3,9,0,1,1,1,1,1,3,4,6,6,4,6,5,5,6,4,4,4,4,8,1,3.5868882733148655,neutral
5,5,4,4,2,2,1,0,3,5,4,3,3,5,5,6,5,3,4,4,4,4,2,2,1,2,8,1,3.093197907048322,pro-life
5,5,0,0,1,1,2,3,1,3,2,2,3,4,4,4,4,4,4,4,4,4,3,4,4,4,8,1,3.0,pro-life
2,2,4,4,2,1,2,1,4,5,5,5,3,7,7,2,4,1,1,1,4,2,3,4,1,3,8,1,1.7625730994152047,pro-life
4,3,3,2,2,2,1,0,3,5,4,4,4,2,1,7,7,4,2,5,6,5,2,5,2,2,8,1,3.7907663896583554,pro-choice
1,1,2,2,3,3,9,0,1,1,1,1,1,1,1,7,7,6,7,6,4,1,6,7,4,4,8,5,4.720529393659587,pro-choice
1,1,2,2,2,2,9,0,1,1,1,1,1,1,1,7,7,6,7,6,4,1,6,7,4,4,8,5,4.720529393659587,pro-choice
3,2,2,1,2,2,1,0,2,3,2,2,3,6,5,7,7,6,5,6,4,4,3,4,1,2,8,1,3.7737765466297315,pro-choice
3,3,2,2,2,2,9,0,2,1,2,2,1,1,1,7,7,7,7,7,1,1,4,4,4,4,8,3,4.999999999999998,pro-choice
2,2,3,3,3,3,2,2,2,2,5,1,1,4,3,6,6,4,4,5,2,3,5,5,3,3,8,1,3.706186518928901,pro-choice
3,1,5,2,2,4,2,2,1,2,4,2,1,1,2,7,7,1,7,4,4,1,2,6,2,1,8,1,4.140535549399814,pro-choice
3,4,4,4,2,2,2,2,3,4,4,3,4,7,6,6,5,5,4,2,6,6,2,3,3,3,8,1,2.7180670975684817,pro-life
3,2,3,2,3,2,2,2,2,3,4,3,2,4,4,6,4,5,4,4,4,4,4,4,4,4,8,1,3.2836565096952905,neutral
2,4,2,4,4,3,3,0,3,2,2,2,2,4,7,1,2,1,3,1,2,1,2,2,2,2,8,2,1.936903662665435,pro-life
0,0,4,4,0,0,6,0,3,5,4,2,3,5,5,6,6,4,4,4,5,5,3,3,4,4,8,1,3.185041551246537,neutral
